  n         chi2      alfa
236     7.271282   -0.9396
237     7.488930   -0.9406
238     8.058203   -0.9367
239     9.608779   -0.9351
240     7.448948   -0.9385
241     7.265630   -0.9397
242    18.579515   -0.9473
243    19.501175   -0.9478
244     7.271282   -0.9397
245     7.284494   -0.9398
246     9.633261   -0.9350
247     9.361330   -0.9436
248     8.114236   -0.9420
249     8.140957   -0.9366
250     7.935994   -0.9416
251     9.970443   -0.9347
252     8.114236   -0.9420
253     8.028829   -0.9419
254     7.464053   -0.9406
255     7.596057   -0.9409
256     9.332152   -0.9353
257    10.182015   -0.9344
258    10.317123   -0.9444
259    13.594000   -0.9317
260     8.475685   -0.9427
261     7.364277   -0.9400
262     9.361330   -0.9437
263     7.808622   -0.9371
264    10.317123   -0.9445
265    10.404280   -0.9342
266    16.470845   -0.9298
267     9.306244   -0.9436
268     8.359704   -0.9364
269    11.583015   -0.9331
270     9.176758   -0.9354
271     9.746177   -0.9349
272     8.321691   -0.9425
273     8.828809   -0.9359
274     7.464053   -0.9405
275     7.916635   -0.9415
276     9.284042   -0.9435
277     7.265630   -0.9397
278    15.294848   -0.9461
279     8.874903   -0.9357
280     7.669888   -0.9376
281     8.828809   -0.9359
282     9.842863   -0.9442
283     8.768442   -0.9432
284     8.836415   -0.9358
285     9.520716   -0.9351
286     7.358441   -0.9403
287    11.462381   -0.9449
288     9.239205   -0.9435
289     8.425236   -0.9363
290     8.768442   -0.9432
291    12.058906   -0.9453
292     7.914081   -0.9416
293     7.701018   -0.9373
294     7.396248   -0.9386
295     7.265630   -0.9397
296     7.938760   -0.9369
297     7.844364   -0.9370
298     7.499771   -0.9407
299     8.135833   -0.9422
300     8.224631   -0.9424
301     7.342593   -0.9390
302     7.830031   -0.9371
303     7.851502   -0.9370
304     8.012361   -0.9417
305    12.378859   -0.9456
306     8.489305   -0.9428
307     8.538543   -0.9429
308     7.766037   -0.9372
309     7.343667   -0.9391
310     7.349964   -0.9390
311     8.498426   -0.9362
312     7.657131   -0.9376
313     9.284042   -0.9435
314     9.344624   -0.9436
315     9.645047   -0.9439
316    14.105101   -0.9313
317    15.550473   -0.9304
318     8.146976   -0.9422
319     7.276536   -0.9395
320     7.362607   -0.9387
321     8.321691   -0.9425
322     8.302707   -0.9364
323     7.682832   -0.9413
324     7.472198   -0.9383
325     7.728710   -0.9373
326    10.659137   -0.9446
327     7.271282   -0.9396
328     7.269404   -0.9397
329     7.365279   -0.9401
330     7.687591   -0.9374
331     7.661814   -0.9412
332     7.910572   -0.9416
333     7.780178   -0.9372
334     7.595814   -0.9409
335     9.416726   -0.9437
336     9.284042   -0.9435
337     7.343853   -0.9389
338     8.130348   -0.9421
339     7.370933   -0.9400
340     7.265630   -0.9397
341     9.361330   -0.9436
342    11.848723   -0.9451
343    11.583015   -0.9332
344    14.687872   -0.9460
345    13.503347   -0.9317
346     8.440137   -0.9426
347    10.776866   -0.9338
348     8.158350   -0.9423
349     7.661814   -0.9412
350     7.343667   -0.9391
351    16.645830   -0.9466
352    12.272072   -0.9455
353    10.387835   -0.9342
354     7.954044   -0.9369
355     8.530280   -0.9429
356     8.320102   -0.9364
357     8.114236   -0.9420
358     7.701018   -0.9374
359     7.282398   -0.9395
360     7.499771   -0.9407
361     7.500373   -0.9383
362     7.276536   -0.9395
363     8.430474   -0.9362
364     7.626628   -0.9377
365     7.442877   -0.9384
366     7.373591   -0.9387
367     7.527069   -0.9382
368     7.517372   -0.9382
369     7.368807   -0.9401
370     8.972506   -0.9356
371     7.343667   -0.9391
372     9.892417   -0.9442
373     7.280087   -0.9396
374     8.058203   -0.9368
375     7.669888   -0.9376
376     9.465621   -0.9438
377     7.690080   -0.9375
378     7.794373   -0.9372
379     7.294620   -0.9398
380     8.548461   -0.9429
381     7.908650   -0.9369
382     7.849858   -0.9415
383     9.156303   -0.9354
384     8.481428   -0.9428
385     7.701018   -0.9374
386     7.846846   -0.9415
387    12.184301   -0.9325
388     8.563682   -0.9430
389     8.893066   -0.9357
390     7.364277   -0.9400
391     7.464053   -0.9406
392     8.028829   -0.9419
393    10.287231   -0.9343
394     9.609786   -0.9439
395     7.412674   -0.9404
396    10.094289   -0.9346
397     8.024092   -0.9419
398     8.676837   -0.9431
399     7.390284   -0.9399
400    16.980237   -0.9468
401     7.306398   -0.9394
402     7.908650   -0.9369
403    10.758991   -0.9338
404    12.272072   -0.9455
405     7.343667   -0.9390
