n, chi2, alfa, beta, gama
121, 5.863991, 3.8492, 0.8784, -0.2877
122, 3.896254, 3.7227, 0.8932, -0.3488
123, 7.420687, 3.6930, 0.8668, -0.3281
124, 5.763323, 3.6278, 0.8497, -0.4249
125, 6.926775, 3.5476, 0.9291, -0.4123
126, 5.025052, 3.5799, 0.9034, -0.3275
127, 10.413076, 3.4466, 1.0134, -0.1662
128, 7.487640, 3.3307, 0.9835, -0.2149
129, 9.525116, 3.1597, 0.9014, -0.4308
130, 8.074623, 3.1826, 0.9307, -0.3448
131, 13.400818, 3.2722, 1.0484, -0.2457
132, 16.580057, 3.1113, 1.0414, -0.1413
133, 17.266291, 3.1621, 0.9925, -0.1888
134, 10.369923, 3.3365, 0.9427, -0.2614
135, 3.950492, 3.3593, 0.9299, -0.3725
136, 5.072475, 3.6094, 0.9335, -0.2869
137, 8.878496, 3.4412, 0.9624, -0.3277
138, 5.188156, 3.3953, 0.9340, -0.3077
139, 3.419982, 3.5118, 0.8986, -0.3982
140, 3.903402, 3.4598, 0.9367, -0.3308
141, 3.545575, 3.3891, 0.9359, -0.3469
142, 5.164231, 3.3562, 0.9488, -0.3968
143, 3.223904, 3.5823, 0.8953, -0.4018
144, 4.236054, 3.6129, 0.9126, -0.4049
145, 8.482681, 3.6270, 0.9091, -0.2643
146, 3.917894, 3.6276, 0.8562, -0.4423
147, 5.228745, 3.7186, 0.8781, -0.4633
148, 7.148050, 3.6073, 0.8694, -0.4760
149, 7.274731, 3.7393, 0.8020, -0.4283
150, 4.637055, 3.8576, 0.8180, -0.4673
151, 7.502689, 3.8095, 0.8230, -0.3686
152, 5.089877, 3.9471, 0.8565, -0.3041
153, 6.975446, 3.9186, 1.0086, -0.2033
154, 6.800659, 3.9437, 0.9036, -0.2095
155, 6.902956, 3.9611, 0.9685, -0.2156
156, 9.051740, 4.0252, 1.0353, -0.1516
157, 7.494755, 4.0654, 0.9520, -0.2301
158, 5.282893, 4.2144, 0.8959, -0.2389
159, 5.625971, 4.4050, 0.7828, -0.3583
160, 5.144793, 4.4337, 0.8379, -0.2634
161, 6.497139, 4.4147, 0.7680, -0.3691
162, 6.230107, 4.5832, 0.7173, -0.4699
163, 4.413179, 4.6017, 0.7600, -0.4822
164, 9.093360, 4.5379, 0.6768, -0.4964
165, 3.901235, 4.5987, 0.7437, -0.4853
166, 5.406469, 4.4708, 0.7632, -0.4035
167, 5.087332, 4.3719, 0.7973, -0.3425
168, 9.541883, 4.3479, 0.7486, -0.3805
169, 7.931730, 4.3349, 0.8172, -0.2608
170, 5.422395, 4.3248, 0.7658, -0.4137
171, 7.731903, 4.2863, 0.7836, -0.5454
172, 10.697382, 4.4205, 0.7663, -0.3343
173, 4.946429, 4.4332, 0.7539, -0.4321
174, 4.859683, 4.3350, 0.7848, -0.3917
175, 5.548403, 4.4680, 0.7710, -0.5338
176, 5.340398, 4.4185, 0.7423, -0.4696
177, 5.450097, 4.4873, 0.7692, -0.5105
178, 4.617366, 4.4901, 0.7744, -0.5001
179, 5.106559, 4.3736, 0.7668, -0.4016
180, 5.994396, 4.4127, 0.7230, -0.4704
181, 5.272941, 4.2944, 0.8096, -0.4063
182, 4.763565, 4.1758, 0.8094, -0.3675
183, 5.127100, 4.1976, 0.7768, -0.5150
184, 3.947921, 4.0431, 0.8339, -0.4132
185, 5.588753, 4.0984, 0.8309, -0.4917
186, 3.990395, 4.0843, 0.8040, -0.4941
187, 3.871320, 4.0988, 0.8134, -0.4110
188, 3.930314, 4.2356, 0.7724, -0.4839
189, 5.470229, 4.2821, 0.7446, -0.4815
190, 4.946549, 4.0414, 0.7906, -0.4911
191, 3.456574, 3.8900, 0.8477, -0.4129
192, 7.502677, 3.7867, 0.8855, -0.4795
193, 3.897619, 4.0056, 0.8392, -0.4342
194, 4.912652, 3.9660, 0.8219, -0.4955
195, 4.081461, 4.2003, 0.8115, -0.4125
196, 5.945639, 4.2540, 0.7769, -0.3948
197, 5.008447, 4.4135, 0.7854, -0.3617
198, 4.603026, 4.4138, 0.7834, -0.4941
199, 4.657532, 4.4659, 0.7752, -0.4318
200, 3.945268, 4.3507, 0.7785, -0.4867
201, 4.621040, 4.2674, 0.7682, -0.4334
202, 3.709528, 4.2586, 0.7938, -0.4477
203, 5.716007, 4.3447, 0.7626, -0.4123
204, 5.312120, 4.3609, 0.7956, -0.5048
205, 5.928737, 4.3452, 0.7857, -0.5261
206, 5.676668, 4.3849, 0.7331, -0.4727
207, 4.445902, 4.4104, 0.7470, -0.4927
