     ID ,       RA ,       DE ,   MagK ,    K_t , lgL_K ,  Vls ,   D_i ,     ID1
1015742 ,  55.3355 , -20.2204 , -14.17 ,  14.65 ,  6.98 ,  857 ,  5.80 , 1015705
1089968 ,  54.3940 , -16.7026 , -14.10 ,  14.29 ,  6.95 ,  494 ,  4.76 , 1015705
1015734 ,  55.7791 , -20.3218 , -14.09 ,  14.72 ,  6.95 ,  891 ,  5.78 , 1015705
1016697 , 287.2732 , -18.1484 , -25.55 ,   1.63 , 11.53 ,  315 ,  2.72 , 1016697
1016698 , 286.6714 , -17.5652 , -24.50 ,   2.42 , 11.11 ,  240 ,  2.43 , 1016697
1013943 , 284.8541 , -14.3121 , -24.21 ,  -3.92 , 11.00 ,  -47 ,  0.11 , 1016697
1016704 , 286.3979 , -21.3693 , -21.39 ,   5.61 ,  9.87 ,  703 ,  2.51 , 1016697
1016702 , 287.1823 , -15.5530 , -21.03 ,   6.54 ,  9.72 ,  431 ,  3.26 , 1016697
1016701 , 284.0262 , -17.0886 , -21.00 ,   6.05 ,  9.71 ,  816 ,  2.57 , 1016697
1016703 , 297.8080 , -11.8654 , -20.96 ,   6.21 ,  9.69 ,  274 ,  2.71 , 1016697
1016700 , 277.8195 , -26.6194 , -20.86 ,   5.83 ,  9.66 ,   80 ,  2.17 , 1016697
1041338 , 290.2339 , -23.4988 , -20.66 ,   7.58 ,  9.58 ,  577 ,  4.44 , 1016697
1016709 , 291.1188 , -13.1041 , -20.54 ,   6.78 ,  9.53 ,  250 ,  2.90 , 1016697
1016711 , 288.2046 , -18.5064 , -20.28 ,   6.88 ,  9.42 ,  770 ,  2.70 , 1016697
1016706 , 284.6815 , -24.1420 , -20.13 ,   6.89 ,  9.37 ,  244 ,  2.54 , 1016697
1016714 , 285.8262 , -14.5161 , -19.82 ,   7.57 ,  9.24 ,  123 ,  3.01 , 1016697
1049919 , 276.3687 , -10.0363 , -19.74 ,   7.54 ,  9.21 ,  555 ,  2.85 , 1016697
1016705 , 278.7275 , -29.1898 , -19.66 ,   7.18 ,  9.18 ,  238 ,  2.33 , 1016697
1052965 , 301.6803 , -14.4473 , -19.05 ,   9.42 ,  8.93 ,  554 ,  4.95 , 1016697
1016716 , 287.6370 , -23.2239 , -18.84 ,   8.28 ,  8.85 ,  398 ,  2.66 , 1016697
1016727 , 291.7419 , -15.7458 , -18.75 ,   8.17 ,  8.81 ,  104 ,  2.42 , 1016697
1016712 , 288.5722 , -11.6065 , -18.50 ,   8.80 ,  8.71 ,  113 ,  2.89 , 1016697
1016710 , 286.8769 , -26.8544 , -18.37 ,   8.36 ,  8.66 ,  260 ,  2.22 , 1016697
1070486 , 275.9588 ,  -7.7275 , -18.23 ,   8.14 ,  8.60 ,  157 ,  1.88 , 1016697
1016707 , 283.1138 , -22.6433 , -18.12 ,   9.02 ,  8.56 , -157 ,  2.68 , 1016697
1016713 , 289.0683 , -20.4684 , -17.91 ,   9.22 ,  8.47 ,   32 ,  2.66 , 1016697
1016733 , 288.4647 , -18.6948 , -17.70 ,   9.26 ,  8.39 ,   94 ,  2.46 , 1016697
1059054 , 288.9585 , -17.0857 , -17.59 ,  10.54 ,  8.35 ,  558 ,  4.24 , 1016697
1016738 , 286.1595 , -26.3816 , -17.55 ,   9.54 ,  8.33 ,  216 ,  2.61 , 1016697
1064757 , 280.9736 , -11.5140 , -17.34 ,  10.29 ,  8.25 ,  448 ,  3.35 , 1016697
1016723 , 286.0826 , -10.0051 , -17.33 ,   9.30 ,  8.24 ,  111 ,  2.12 , 1016697
1016721 , 294.3613 , -13.4219 , -17.24 ,   9.67 ,  8.21 ,   38 ,  2.41 , 1016697
