  n         chi2      alfa
180    10.538802   -0.9445
181     7.354040   -0.9388
182     7.343853   -0.9389
183     7.344563   -0.9393
184     7.284447   -0.9398
185    13.344435   -0.9457
186    10.911044   -0.9336
187     7.327374   -0.9393
188     7.333637   -0.9392
189     7.338130   -0.9392
190    21.806212   -0.9224
191    17.470938   -0.9292
192     9.465621   -0.9438
193     7.336604   -0.9388
194     7.284494   -0.9398
195     7.639462   -0.9411
196     7.868010   -0.9370
197     8.130348   -0.9422
198     9.332152   -0.9353
199     8.124920   -0.9421
200     8.010222   -0.9419
201    10.233111   -0.9343
202     9.416726   -0.9437
203     8.024092   -0.9419
204     7.322212   -0.9391
205     8.152634   -0.9422
206     9.070662   -0.9356
207     7.455904   -0.9405
208     9.250535   -0.9435
209     7.682832   -0.9413
210     7.633728   -0.9410
211     7.371092   -0.9402
212     9.306244   -0.9436
213     7.269404   -0.9397
214     7.916635   -0.9415
215     7.373591   -0.9387
216     7.893675   -0.9370
217     7.372390   -0.9401
218     7.410547   -0.9405
219     7.414857   -0.9404
220     7.663173   -0.9412
221     7.690080   -0.9375
222     7.500373   -0.9383
223     7.866175   -0.9370
224     8.003844   -0.9417
225     9.353555   -0.9353
226     7.661814   -0.9412
227     8.555244   -0.9429
228     8.230874   -0.9424
229     7.483850   -0.9380
230     7.368807   -0.9401
231     7.851502   -0.9370
232     7.342593   -0.9390
233     9.216722   -0.9434
234     7.396248   -0.9386
235     8.114236   -0.9420
236     7.269404   -0.9397
237     7.499831   -0.9379
238     9.239205   -0.9434
239     8.440137   -0.9426
240     8.521812   -0.9362
241    11.893978   -0.9452
242     7.472198   -0.9383
243     7.309754   -0.9394
244     9.332152   -0.9353
245     7.641825   -0.9411
246     7.282398   -0.9395
247     8.563682   -0.9429
248     7.984540   -0.9369
249     8.073852   -0.9367
250     7.547379   -0.9381
251     8.580734   -0.9431
252     8.425236   -0.9363
253     8.005714   -0.9419
254     8.152634   -0.9423
255     7.363518   -0.9387
256     7.373591   -0.9387
257     9.353555   -0.9353
258     8.191860   -0.9423
259     7.500373   -0.9383
260     7.265630   -0.9397
261     7.488930   -0.9406
262     8.700755   -0.9360
263     7.666059   -0.9412
264    12.302963   -0.9324
265     7.794373   -0.9372
266     7.358441   -0.9404
267     7.344297   -0.9389
268     7.483850   -0.9380
269     8.105311   -0.9366
270    11.462381   -0.9449
271     8.540235   -0.9428
272     8.016305   -0.9416
273     8.251401   -0.9365
274     7.422352   -0.9385
275     8.213466   -0.9424
276     7.908650   -0.9369
277     7.487580   -0.9381
278     9.918394   -0.9348
279     8.626986   -0.9361
280     7.914081   -0.9416
281     7.536565   -0.9381
282     7.410547   -0.9404
283     7.728710   -0.9373
284     7.371092   -0.9402
285     9.332152   -0.9353
286     8.790637   -0.9358
287     9.416726   -0.9437
288     7.614706   -0.9409
289     7.604669   -0.9377
290    11.121688   -0.9334
291     7.794373   -0.9372
292     7.687591   -0.9374
293     7.728710   -0.9373
294     7.728710   -0.9373
295     8.024092   -0.9419
296     9.844560   -0.9349
297     7.371092   -0.9402
298     7.575926   -0.9378
299    10.170695   -0.9444
300     8.019411   -0.9419
301     8.169954   -0.9423
302     8.342823   -0.9364
303     7.464513   -0.9405
304     7.342581   -0.9391
305    12.273221   -0.9324
306     8.130348   -0.9421
307     9.608779   -0.9351
308     7.394223   -0.9399
309     7.333637   -0.9393
310     8.425236   -0.9363
311     8.267865   -0.9365
312     8.563682   -0.9430
313     9.161545   -0.9434
314     9.306244   -0.9436
315    11.848723   -0.9451
316    11.308784   -0.9333
317    10.937328   -0.9335
318    13.055236   -0.9457
319     8.205426   -0.9366
320    10.120361   -0.9443
321     7.333637   -0.9392
322     7.353134   -0.9404
323     7.344952   -0.9388
324    10.158008   -0.9345
325     7.638366   -0.9411
326     7.378917   -0.9402
327    10.776866   -0.9337
328     9.070662   -0.9355
329     7.465521   -0.9405
330     7.638366   -0.9411
331     7.352839   -0.9403
332     7.396248   -0.9386
333     7.505864   -0.9379
334     7.509873   -0.9382
335     7.265630   -0.9397
336    10.625845   -0.9339
337     9.454616   -0.9352
338     7.364277   -0.9400
339    10.538802   -0.9445
340     7.641825   -0.9412
341     8.130348   -0.9421
342     7.343667   -0.9391
343     9.723683   -0.9350
344     7.499771   -0.9407
345     7.355742   -0.9403
346     8.438203   -0.9427
347     7.546030   -0.9381
348    10.120361   -0.9443
349     7.595497   -0.9408
350    21.566814   -0.9244
351    24.220160   -0.9156
352    24.406082   -0.9152
353    15.629671   -0.9463
354     7.349964   -0.9390
355     7.666059   -0.9412
356     7.626628   -0.9377
357    10.555075   -0.9445
358     8.031957   -0.9418
359     8.251401   -0.9365
360     9.250535   -0.9435
