  n         chi2      alfa
 -1   208.000251   -0.5000
  0   163.918800   -0.6131
  1   107.200023   -0.7131
  2    99.521869   -0.7240
  3    29.806669   -0.8923
  4    26.358978   -0.9061
  5    31.790997   -0.8841
  6    24.439293   -0.9149
  7    24.539697   -0.9138
  8     7.472198   -0.9383
  9    10.625845   -0.9339
 10     7.499771   -0.9407
 11     7.344858   -0.9390
 12     9.498123   -0.9351
 13    10.317123   -0.9445
 14    16.287091   -0.9466
 15     8.713026   -0.9432
 16     7.404895   -0.9386
 17     8.114236   -0.9421
 18     7.355742   -0.9403
 19     7.604669   -0.9377
 20     7.442877   -0.9384
 21     7.511041   -0.9379
 22     8.130348   -0.9422
 23    11.210641   -0.9448
 24    10.118087   -0.9345
 25     8.054215   -0.9420
 26     7.908650   -0.9369
 27     8.694815   -0.9432
 28     9.525389   -0.9438
 29     8.021106   -0.9418
 30     7.448948   -0.9385
 31     7.258485   -0.9398
 32     8.498426   -0.9362
 33     8.073852   -0.9367
 34     8.016305   -0.9417
 35     7.344563   -0.9393
 36     7.414857   -0.9404
 37     7.844364   -0.9370
 38     8.836415   -0.9358
 39     7.462916   -0.9384
 40    10.233111   -0.9343
 41     7.614706   -0.9409
 42    10.610228   -0.9341
 43     8.445691   -0.9427
 44     7.404895   -0.9386
 45     8.024092   -0.9419
 46     7.455904   -0.9405
 47     7.595814   -0.9409
 48     7.373591   -0.9387
 49     8.717311   -0.9360
 50     7.687323   -0.9375
 51     7.499771   -0.9407
 52     7.371092   -0.9402
 53     7.289529   -0.9398
 54     9.815402   -0.9441
 55     7.500373   -0.9383
 56     8.224631   -0.9424
 57     9.892417   -0.9442
 58     7.701018   -0.9373
 59    10.258226   -0.9444
 60     7.494816   -0.9379
 61     9.268060   -0.9354
 62     8.114236   -0.9420
 63     7.604669   -0.9377
 64     8.855633   -0.9357
 65     9.746177   -0.9349
 66     9.520716   -0.9351
 67    13.168472   -0.9320
 68    12.184301   -0.9325
 69     7.669888   -0.9376
 70     9.386514   -0.9352
 71     7.780178   -0.9372
 72     9.284042   -0.9435
 73     8.108682   -0.9366
 74     7.483850   -0.9380
 75     7.300315   -0.9394
 76     7.276536   -0.9395
 77     8.717311   -0.9360
 78     7.344297   -0.9389
 79     8.489305   -0.9428
 80     7.799121   -0.9414
 81     8.580734   -0.9431
 82     9.332152   -0.9353
 83     7.351729   -0.9389
 84     7.517372   -0.9382
 85     7.371092   -0.9402
 86     7.682832   -0.9413
 87     7.517372   -0.9382
 88     8.019411   -0.9419
 89     8.440137   -0.9426
 90     8.105311   -0.9367
 91     7.534935   -0.9381
 92     9.289505   -0.9354
 93     8.158350   -0.9423
 94     8.438203   -0.9427
 95     7.517372   -0.9382
 96    10.017273   -0.9346
 97     8.169954   -0.9423
 98     8.768442   -0.9432
 99     7.910572   -0.9416
100     7.701018   -0.9373
101     8.676837   -0.9431
102     7.472198   -0.9383
103     8.114236   -0.9421
104     9.289505   -0.9354
105    10.404280   -0.9342
106     8.438203   -0.9427
107     8.481428   -0.9428
108     7.750443   -0.9414
109     8.012361   -0.9418
110    13.432116   -0.9318
111    10.937328   -0.9335
112     8.230874   -0.9424
113     7.349330   -0.9391
114     8.158350   -0.9423
115     7.271282   -0.9396
116     7.464513   -0.9405
117     7.372390   -0.9401
118     7.499771   -0.9407
119    13.503347   -0.9317
120     8.169954   -0.9423
121     7.349964   -0.9390
122     7.374329   -0.9402
123     8.507912   -0.9428
124     8.315012   -0.9425
125     8.580734   -0.9430
126     9.161545   -0.9434
127     7.487580   -0.9380
128     8.016305   -0.9417
129     7.349330   -0.9391
130     7.908650   -0.9370
131    10.182015   -0.9343
132     8.169954   -0.9423
133     7.464053   -0.9405
134     8.158350   -0.9423
135     7.794373   -0.9372
136     8.031957   -0.9418
137     9.306244   -0.9436
138    11.550849   -0.9332
139    15.550473   -0.9304
140    15.176798   -0.9308
141     7.527952   -0.9407
142     7.616044   -0.9377
143     8.059178   -0.9420
144     7.954044   -0.9369
145     7.394223   -0.9399
146     7.289529   -0.9398
147    10.019661   -0.9346
148     8.548461   -0.9429
149     8.105311   -0.9366
150    10.454205   -0.9342
151    12.302963   -0.9324
152     7.349964   -0.9390
153     7.595497   -0.9408
154     7.483850   -0.9380
155     9.216722   -0.9434
156     7.442877   -0.9384
157    11.868637   -0.9452
158    10.776866   -0.9337
159    11.687223   -0.9450
160     8.251401   -0.9365
161     8.158350   -0.9423
162     7.938760   -0.9369
163     8.810851   -0.9358
164     8.189229   -0.9366
165     8.890571   -0.9433
166     8.267865   -0.9365
167     7.365279   -0.9401
168     7.703053   -0.9375
169     8.073852   -0.9367
170     8.012361   -0.9418
171     9.977737   -0.9442
172     8.158350   -0.9423
173     7.595814   -0.9408
174     7.638366   -0.9411
175     7.632969   -0.9410
176     8.230874   -0.9424
177     7.495098   -0.9379
178     9.070662   -0.9355
179     8.355994   -0.9425
