 log10_L ,  log10_M
 8.24500 , 10.62765
 8.24600 , 10.62815
 8.24700 , 10.62865
 8.24800 , 10.62915
 8.24900 , 10.62965
 8.25000 , 10.63015
 8.25100 , 10.63065
 8.25200 , 10.63115
 8.25300 , 10.63165
 8.25400 , 10.63215
 8.25500 , 10.63265
 8.25600 , 10.63315
 8.25700 , 10.63365
 8.25800 , 10.63415
 8.25900 , 10.63465
 8.26000 , 10.63515
 8.26100 , 10.63565
 8.26200 , 10.63615
 8.26300 , 10.63665
 8.26400 , 10.63715
 8.26500 , 10.63765
 8.26600 , 10.63815
 8.26700 , 10.63865
 8.26800 , 10.63915
 8.26900 , 10.63965
 8.27000 , 10.64015
 8.27100 , 10.64065
 8.27200 , 10.64115
 8.27300 , 10.64165
 8.27400 , 10.64215
 8.27500 , 10.64265
 8.27600 , 10.64315
 8.27700 , 10.64365
 8.27800 , 10.64415
 8.27900 , 10.64465
 8.28000 , 10.64515
 8.28100 , 10.64565
 8.28200 , 10.64615
 8.28300 , 10.64665
 8.28400 , 10.64715
 8.28500 , 10.64765
 8.28600 , 10.64815
 8.28700 , 10.64865
 8.28800 , 10.64915
 8.28900 , 10.64965
 8.29000 , 10.65015
 8.29100 , 10.65065
 8.29200 , 10.65115
 8.29300 , 10.65165
 8.29400 , 10.65215
 8.29500 , 10.65265
 8.29600 , 10.65315
 8.29700 , 10.65365
 8.29800 , 10.65415
 8.29900 , 10.65465
 8.30000 , 10.65515
 8.30100 , 10.65565
 8.30200 , 10.65615
 8.30300 , 10.65665
 8.30400 , 10.65715
 8.30500 , 10.65765
 8.30600 , 10.65815
 8.30700 , 10.65865
 8.30800 , 10.65915
 8.30900 , 10.65965
 8.31000 , 10.66015
 8.31100 , 10.66065
 8.31200 , 10.66115
 8.31300 , 10.66165
 8.31400 , 10.66215
 8.31500 , 10.66265
 8.31600 , 10.66315
 8.31700 , 10.66365
 8.31800 , 10.66415
 8.31900 , 10.66465
 8.32000 , 10.66515
 8.32100 , 10.66565
 8.32200 , 10.66615
 8.32300 , 10.66665
 8.32400 , 10.66715
 8.32500 , 10.66765
 8.32600 , 10.66815
 8.32700 , 10.66865
 8.32800 , 10.66915
 8.32900 , 10.66965
 8.33000 , 10.67015
 8.33100 , 10.67065
 8.33200 , 10.67115
 8.33300 , 10.67165
 8.33400 , 10.67215
 8.33500 , 10.67265
 8.33600 , 10.67315
 8.33700 , 10.67365
 8.33800 , 10.67415
 8.33900 , 10.67465
 8.34000 , 10.67515
 8.34100 , 10.67565
 8.34200 , 10.67615
 8.34300 , 10.67665
 8.34400 , 10.67715
 8.34500 , 10.67765
 8.34600 , 10.67815
 8.34700 , 10.67865
