n, chi2, alfa, beta, gama
121, 3.641628, 3.9738, 0.8151, -0.4403
122, 10.344894, 4.1032, 0.7482, -0.4100
123, 5.089110, 4.5617, 0.7657, -0.3907
124, 4.244522, 4.0659, 0.8287, -0.3824
125, 4.108461, 3.8977, 0.8601, -0.3478
126, 3.311052, 3.7873, 0.8756, -0.4049
127, 4.510803, 4.1623, 0.8067, -0.5027
128, 5.818681, 3.9489, 0.8020, -0.4991
129, 4.969095, 4.2592, 0.8289, -0.3071
130, 5.362180, 4.3690, 0.7861, -0.3573
131, 5.374381, 5.4444, 0.8310, -0.2118
132, 6.997864, 4.8854, 0.7087, -0.4078
133, 7.363383, 3.8250, 0.8420, -0.5043
134, 4.723928, 3.4873, 0.9319, -0.4063
135, 3.417547, 3.5651, 0.8782, -0.4240
136, 8.016721, 4.3707, 0.7900, -0.5447
137, 6.386411, 4.6163, 0.8023, -0.3051
138, 4.912117, 4.5750, 0.7307, -0.4655
139, 3.790394, 4.5238, 0.7396, -0.4927
140, 4.741801, 3.4726, 0.9395, -0.3688
141, 5.400966, 3.2297, 0.9379, -0.3735
142, 4.419002, 4.3441, 0.8135, -0.3356
143, 7.085801, 5.1243, 0.7109, -0.5405
144, 4.928882, 3.9419, 0.8392, -0.3677
145, 4.831550, 3.8628, 0.8782, -0.3095
146, 5.245610, 3.3135, 0.9358, -0.3655
147, 3.663883, 4.3650, 0.7617, -0.4733
148, 5.683687, 3.8465, 0.7909, -0.4667
149, 4.333446, 3.7870, 0.8859, -0.4258
150, 6.385937, 3.9512, 0.8322, -0.5081
151, 4.677971, 3.8992, 0.8733, -0.3789
152, 6.110607, 4.3574, 0.8590, -0.2525
153, 3.366596, 3.5304, 0.8926, -0.4189
154, 5.175684, 4.7748, 0.7079, -0.5419
155, 3.927815, 4.3071, 0.7772, -0.4918
156, 3.919392, 4.2136, 0.8113, -0.4265
157, 4.600486, 3.7394, 0.8418, -0.3962
158, 10.636277, 3.6036, 0.8143, -0.4704
159, 9.188960, 4.3234, 0.8202, -0.4467
160, 8.488485, 3.9947, 0.7980, -0.5253
161, 5.714220, 4.7035, 0.7211, -0.4301
162, 4.146504, 4.0155, 0.8385, -0.3732
163, 4.150560, 4.4735, 0.7572, -0.4606
164, 7.079287, 4.3170, 0.8352, -0.3260
165, 13.634622, 5.1765, 0.7290, -0.3977
166, 8.582221, 4.2169, 0.7426, -0.5477
167, 3.725118, 3.9908, 0.8102, -0.4364
168, 6.415670, 3.1532, 0.9995, -0.3043
169, 5.691856, 4.3400, 0.7955, -0.5181
170, 3.519902, 3.8575, 0.8394, -0.4452
171, 5.046509, 3.2807, 0.9396, -0.3901
172, 7.137144, 3.5788, 0.8716, -0.4682
173, 6.126121, 4.6119, 0.7585, -0.5338
174, 6.194977, 4.9093, 0.7257, -0.4556
175, 4.872556, 3.4162, 0.8948, -0.4102
176, 5.439184, 4.0804, 0.8426, -0.4333
177, 6.440210, 3.7744, 0.8093, -0.4490
178, 4.902696, 4.2194, 0.7715, -0.4229
179, 7.004807, 4.5423, 0.7253, -0.4412
180, 3.448515, 3.3840, 0.9439, -0.3704
181, 7.435845, 5.0700, 0.7059, -0.4043
182, 4.730396, 3.5212, 0.8964, -0.3629
183, 4.033411, 3.9087, 0.8599, -0.3661
184, 5.124211, 4.3199, 0.8546, -0.2313
185, 5.601055, 3.5702, 0.8647, -0.4483
186, 7.402833, 4.7592, 0.7569, -0.4286
187, 5.261834, 4.1309, 0.8134, -0.5065
188, 5.202565, 4.2101, 0.8616, -0.2733
189, 9.930560, 5.4110, 0.6880, -0.3962
190, 3.894483, 3.7697, 0.8836, -0.4102
191, 4.196926, 4.6759, 0.7161, -0.4969
192, 4.304508, 4.2899, 0.7968, -0.4171
193, 4.252549, 3.9375, 0.8702, -0.3589
194, 5.774963, 3.7974, 0.8803, -0.4719
195, 3.808194, 3.6944, 0.8520, -0.4072
196, 5.898602, 3.7206, 0.8207, -0.4552
197, 8.448579, 4.4645, 0.8618, -0.2711
198, 8.716930, 3.7988, 0.7868, -0.4514
199, 6.904034, 2.9213, 1.0336, -0.2662
200, 4.657440, 4.5758, 0.7530, -0.4694
201, 5.323909, 4.1466, 0.7732, -0.4753
202, 6.569014, 4.4512, 0.7229, -0.5518
203, 4.882218, 4.0137, 0.8888, -0.2560
204, 9.041156, 4.5524, 0.7903, -0.4886
205, 3.929306, 3.9919, 0.8229, -0.3977
206, 6.257782, 5.4275, 0.6391, -0.5156
207, 3.607516, 3.4391, 0.9271, -0.3701
208, 4.969413, 3.4985, 0.9390, -0.3925
209, 3.531681, 3.7056, 0.8615, -0.3983
210, 5.706442, 4.0619, 0.8522, -0.3780
211, 5.062773, 5.7016, 0.8309, -0.2055
212, 5.456962, 4.6087, 0.7706, -0.3658
213, 4.041530, 4.4739, 0.7770, -0.4581
214, 5.341837, 4.5149, 0.7910, -0.3660
215, 4.880518, 4.4386, 0.8028, -0.3571
216, 3.265075, 3.8261, 0.8318, -0.4553
217, 3.851607, 3.8311, 0.8269, -0.4438
218, 4.957928, 4.6684, 0.7274, -0.4711
219, 3.439377, 3.8414, 0.8560, -0.4364
220, 7.338099, 3.6089, 0.9037, -0.4673
221, 5.762864, 5.4206, 0.6347, -0.5759
222, 3.854670, 4.0244, 0.8199, -0.4679
223, 4.638848, 3.9887, 0.8378, -0.4865
224, 7.533782, 3.9999, 0.7621, -0.4862
225, 12.642533, 3.8086, 0.8279, -0.5309
226, 8.987902, 3.4014, 0.8901, -0.4591
227, 4.889790, 4.7030, 0.7313, -0.4545
228, 4.093820, 3.9437, 0.8109, -0.4278
229, 4.270890, 4.3130, 0.7594, -0.4857
230, 3.432830, 3.8572, 0.8555, -0.4110
231, 4.218784, 4.3798, 0.7855, -0.4442
232, 5.338794, 4.5885, 0.7087, -0.5105
233, 5.013815, 4.3384, 0.8380, -0.2655
234, 4.218957, 3.9746, 0.8615, -0.3303
235, 7.747898, 3.5348, 0.8744, -0.4785
236, 5.935514, 3.9485, 0.8745, -0.4084
237, 3.490267, 3.8825, 0.8487, -0.4134
238, 4.876555, 3.7351, 0.9035, -0.2790
239, 4.636660, 4.1118, 0.8331, -0.3312
240, 4.341435, 3.3645, 0.9323, -0.3488
241, 5.566464, 3.8094, 0.8272, -0.3952
242, 4.444656, 4.1131, 0.8540, -0.3031
243, 6.056113, 3.9664, 0.7978, -0.4334
244, 4.113755, 4.0233, 0.8034, -0.4250
245, 6.278822, 3.7317, 0.8979, -0.4270
246, 6.563432, 3.5491, 0.8529, -0.4287
247, 6.638697, 4.6283, 0.7693, -0.3160
248, 6.625114, 4.1767, 0.8320, -0.2842
249, 6.720258, 4.8449, 0.7397, -0.3577
250, 6.853843, 3.8154, 0.8572, -0.3186
251, 6.793614, 3.7029, 0.9069, -0.4069
252, 5.274033, 4.3463, 0.7979, -0.4129
253, 10.697185, 4.5266, 0.8063, -0.3784
254, 8.457693, 3.2180, 0.9506, -0.4456
255, 8.393378, 4.4803, 0.7953, -0.4150
256, 8.780039, 3.3269, 0.9730, -0.3353
257, 7.116283, 4.3354, 0.8095, -0.4839
258, 7.177805, 4.1257, 0.8507, -0.3409
259, 4.874406, 4.8089, 0.6995, -0.5260
260, 9.312475, 3.0070, 0.9878, -0.2968
261, 9.119567, 4.2497, 0.8295, -0.5073
262, 4.429214, 3.6346, 0.9103, -0.3526
263, 3.268662, 3.5189, 0.9140, -0.4008
264, 5.515501, 3.7838, 0.8484, -0.4816
265, 3.360549, 3.5594, 0.9124, -0.3807
266, 3.796304, 4.1106, 0.8154, -0.4105
267, 5.579942, 4.0419, 0.8846, -0.2318
268, 5.598730, 4.2071, 0.7981, -0.5186
269, 7.770592, 4.0661, 0.8523, -0.4135
270, 5.687127, 4.7469, 0.8143, -0.2406
271, 6.007796, 4.8831, 0.6893, -0.4607
272, 5.465825, 3.8390, 0.8519, -0.3371
273, 5.545727, 4.2051, 0.8373, -0.2745
274, 5.405076, 3.7209, 0.8854, -0.4620
275, 4.208670, 4.0423, 0.8284, -0.4848
276, 5.783545, 4.0286, 0.8144, -0.3684
277, 5.881331, 4.6195, 0.7718, -0.3852
278, 4.538049, 4.2583, 0.7907, -0.4138
279, 3.706336, 3.8890, 0.8545, -0.3803
280, 4.379569, 3.8490, 0.8833, -0.3197
281, 3.639375, 3.9584, 0.8165, -0.4357
282, 4.634022, 3.9160, 0.8685, -0.4252
283, 5.456174, 5.1655, 0.6533, -0.5283
284, 6.650064, 4.0816, 0.7554, -0.5008
285, 6.861080, 4.8948, 0.7363, -0.4784
286, 4.471165, 4.0504, 0.8394, -0.4278
287, 3.278819, 3.7534, 0.8725, -0.4250
288, 6.270562, 5.0881, 0.8255, -0.2396
289, 6.345207, 3.7736, 0.8328, -0.3799
290, 4.517478, 4.3900, 0.7763, -0.4266
291, 6.142114, 6.1543, 0.7367, -0.2277
292, 5.328694, 4.3476, 0.8408, -0.2831
293, 5.272672, 3.8207, 0.8774, -0.4583
294, 6.058246, 3.6404, 0.8501, -0.3805
295, 6.319589, 5.1656, 0.9090, -0.1816
296, 3.456113, 4.1299, 0.8088, -0.4510
297, 3.470041, 3.9304, 0.8414, -0.4306
298, 6.429307, 3.4098, 0.9553, -0.3958
299, 4.711437, 4.1756, 0.8468, -0.3028
300, 3.554403, 4.2248, 0.8083, -0.4549
301, 8.079942, 4.7632, 0.7223, -0.5821
302, 4.312159, 4.2163, 0.8150, -0.3595
303, 8.121922, 5.0541, 0.8711, -0.1669
304, 6.653523, 3.8520, 0.8699, -0.4763
305, 6.155967, 4.4276, 0.7603, -0.3806
306, 5.100708, 3.5096, 0.8812, -0.4358
307, 8.583846, 4.6244, 0.7486, -0.3594
308, 5.730061, 4.5299, 0.7812, -0.4662
309, 6.666213, 3.5761, 0.9606, -0.2143
310, 7.633781, 3.8567, 0.7811, -0.4842
311, 5.243620, 3.8906, 0.8761, -0.3946
312, 5.990324, 3.9690, 0.8588, -0.4515
313, 9.812470, 4.9219, 0.7476, -0.2755
314, 3.670000, 4.4641, 0.7617, -0.4860
315, 5.080285, 4.5892, 0.7397, -0.4273
316, 6.667294, 3.8400, 0.8893, -0.3649
317, 6.163215, 5.1532, 0.7535, -0.2660
318, 7.707135, 3.5901, 0.9409, -0.2839
319, 6.162280, 4.7907, 0.7488, -0.3993
320, 8.061490, 4.5728, 0.7618, -0.3387
321, 10.597200, 4.7311, 0.7777, -0.3766
322, 5.740887, 4.0077, 0.7754, -0.5056
323, 5.693718, 3.7591, 0.8528, -0.3496
324, 4.047958, 3.5205, 0.9105, -0.4257
325, 6.443485, 3.8160, 0.7989, -0.4870
