  n        chi2     alfa     beta      gama
132    3.788542   3.9011   0.8264   -0.4571
133    9.179348   4.0233   0.7701   -0.4097
134    8.144281   5.1129   0.8255   -0.1912
135   10.424249   3.8322   0.8853   -0.5039
136    3.364246   3.8179   0.8619   -0.4239
137    5.262912   4.8088   0.7085   -0.4600
138    6.354445   4.3459   0.7980   -0.3325
139    3.551688   3.8327   0.8542   -0.4004
140    5.569971   4.4407   0.7908   -0.3326
141    7.165069   2.7917   1.0258   -0.3618
142    6.498390   3.3887   0.9677   -0.3190
143    5.814363   4.7698   0.7895   -0.2896
144    6.115577   3.4535   0.8986   -0.4447
145    6.270548   4.8250   0.7066   -0.4377
146    3.889790   3.9818   0.8310   -0.4654
147    4.953814   3.7249   0.8463   -0.3823
148    4.492102   4.2173   0.7746   -0.5093
149    4.363651   4.0678   0.8397   -0.3570
150    5.086587   4.7287   0.6995   -0.5023
151    5.559817   4.4775   0.7821   -0.4161
152    5.890527   3.8622   0.8158   -0.4847
153    6.460324   4.7708   0.7407   -0.3863
154    6.801163   4.4829   0.8358   -0.2132
155    5.382155   4.6105   0.8006   -0.3126
156    4.149223   4.5691   0.7509   -0.4804
157    4.052218   4.2263   0.7942   -0.4208
158    4.773992   3.9872   0.8265   -0.4928
159    6.397059   4.0062   0.8207   -0.3484
160    3.789884   3.8762   0.8286   -0.4784
161    6.984097   3.7215   0.8129   -0.4353
162    5.453065   3.5716   0.8934   -0.3516
163    3.896428   3.7449   0.8511   -0.4575
164    5.322334   4.2354   0.7458   -0.4797
165    4.581708   4.2247   0.7804   -0.4176
166    4.912209   4.0923   0.8295   -0.4953
167    5.915730   3.4592   0.9471   -0.3937
168    6.238190   3.1768   0.9615   -0.3215
169    6.033363   4.4807   0.7926   -0.3804
170    7.893988   3.3230   0.9387   -0.4493
171    2.747898   3.6230   0.8881   -0.4205
172    5.444840   3.6519   0.8784   -0.3436
173    5.584305   4.6932   0.7045   -0.4865
174    5.419801   4.7440   0.8738   -0.2210
175    5.433122   4.4484   0.8294   -0.2733
176    5.412484   4.3291   0.8274   -0.3198
177    6.777400   4.2787   0.8087   -0.3097
178   14.919804   3.2231   0.8697   -0.3804
179    4.301195   4.1030   0.7962   -0.4150
180    5.687963   4.6572   0.7361   -0.4090
181    9.098942   5.1760   0.7144   -0.4979
182    4.581329   4.0792   0.8417   -0.4021
183    6.987025   3.6274   0.8275   -0.4336
184    7.994030   3.9486   0.7671   -0.4493
185    5.231104   4.1125   0.8114   -0.3736
186    4.121851   3.9288   0.8276   -0.3935
187    5.968673   4.2036   0.8295   -0.4424
188    7.557196   3.1887   0.9430   -0.4332
189    5.410122   4.3909   0.7769   -0.3780
